n_seeds,scen_mean,scen_std,scen_p10,scen_p50,scen_p90,mineral,window_start,window_len
20,14327.742156955996,114.45739001200558,14183.959266830809,14306.627213657413,14494.316325813837,lithium,0,1352
20,11255.802608715088,77.55649678126993,11180.616281536946,11256.987115673988,11351.505184342188,nickel,0,1352
20,44702718.81254765,140205.00515646054,44505022.17001384,44745098.66480224,44841297.44222813,platinum,0,1352
