# Country-level platinum end-product consumption share (2024).
# Vehicle markets (autocats), jewelry markets, industrial.
country,share
China,0.32
USA,0.16
India,0.07
Japan,0.07
Germany,0.05
UK,0.03
France,0.025
Italy,0.025
Korea,0.03
Spain,0.02
Mexico,0.02
Brazil,0.02
Russia,0.02
Turkey,0.015
Thailand,0.015
Vietnam,0.01
Indonesia,0.01
Australia,0.01
Canada,0.01
South Africa,0.01
UAE,0.01
Saudi Arabia,0.01
Switzerland,0.015
Argentina,0.005
Sweden,0.005
