# Country-level battery-grade manganese-using manufacturer share (2024).
# Cathode-active-material plants making NMC / LMFP / NMC9.5.5 cathodes.
# share = fraction of global battery-grade Mn-consuming manufacturing.
country,share
China,0.65
Korea,0.10
Japan,0.07
USA,0.05
Germany,0.04
Hungary,0.02
Poland,0.015
Sweden,0.015
France,0.01
Spain,0.005
UK,0.005
India,0.005
Canada,0.005
