# Country-level nickel end-product consumption share (2024).
# Stainless steel + EV batteries + alloys + plating.
country,share
China,0.55
USA,0.08
India,0.06
Korea,0.04
Japan,0.04
Germany,0.04
Indonesia,0.03
Italy,0.02
Taiwan,0.02
France,0.015
UK,0.015
Spain,0.015
Brazil,0.015
Russia,0.015
Mexico,0.01
Turkey,0.01
Thailand,0.01
Vietnam,0.01
Australia,0.01
Canada,0.01
Saudi Arabia,0.01
UAE,0.01
South Africa,0.01
Sweden,0.005
Finland,0.005
