# Country-level platinum-using manufacturer share (2024).
# Autocatalysts (~40% of demand), jewelry, fuel cells, chemical/industrial.
country,share
China,0.30
Japan,0.18
Germany,0.10
USA,0.10
India,0.05
Korea,0.05
UK,0.04
Mexico,0.04
Italy,0.03
France,0.03
South Africa,0.04
Spain,0.02
Brazil,0.02
