,Step,Global_Price,Marginal_Cost,Cheapest_Active_Cost,Total_Processor_Inventory,Total_Mine_Output,Total_Recycled_Supply,Total_Processor_Throughput,Available_EOL_Pool,Total_Mineral_In_System,Cumulative_Processor_Yield_Loss,Cumulative_Recovery_Loss,Lost_In_Transit_Mineral,Cumulative_Reserve_Replacement,Mass_Balance_Discrepancy,Disrupted_Mines_Count,Mothballed_Mines_Count,Total_Consumer_Demand_Units,Fulfilled_Demand_Units,Unfulfilled_Demand_Units,Avg_Manufacturer_Intensity,Total_Reserves,Embargoed_Mines_Count,Total_Embargoed_Production,Total_Domestic_Stockpile,Closed_Chokepoints_Count,Total_In_Transit_Tons,Total_Product_Units_In_Transit
0,0,17531.002868159423,9900.0,6300.0,142346.15384615384,94654.66027128077,0.0,0.0,0.0,130734481.17628959,0.0,0.0,0.0,47327.33013564038,-1.043081283569336e-07,1,0,1682692.3076923082,1682692.3076923082,0.0,0.04,129992672.66986436,0,0.0,0.0,0,296577.7371943578,2524038.461538462
1,1,17792.92355414976,9900.0,6300.0,121764.98390987713,91869.58114349195,0.0,0.0,0.0,130780415.96686134,0.0,0.0,0.0,93262.12070738635,-1.043081283569336e-07,2,0,1685547.313202165,1685547.313202165,0.0,0.04,129946737.8792926,0,0.0,0.0,0,324780.9625041284,3894226.046153114
2,2,18177.311914302412,9900.0,6300.0,121812.37582192503,93049.89555690497,0.0,15420.145660165965,0.0,130822591.64278689,4349.271852867323,0.0,0.0,139787.06848583886,-7.450580596923828e-08,2,0,1687555.387917325,1686165.4009129405,1389.9870043851497,0.04,129900212.93151416,0,0.0,0.0,0,262276.28226156393,1749078.8853582535
3,3,18530.356370584526,9900.0,6300.0,121889.14013061668,94421.84666085686,0.0,27198.91288506255,0.0,130862195.6688484,11956.16912167513,0.0,0.0,186997.99181626725,4.470348358154297e-08,1,0,1689420.504250092,1306771.2890941615,382649.2151559308,0.04,129853002.00818373,0,0.0,0.0,0,387760.5257685622,3117119.304970042
4,4,18853.955273087813,9900.0,6300.0,121986.42097628496,95285.02662918554,0.0,32998.086788377615,0.0,130900570.23097785,21224.120306769222,0.0,0.0,234640.50513086002,7.450580596923828e-08,0,0,1691321.1183554847,1493429.7681954936,197891.35015999092,0.04,129805359.49486914,0,0.0,0.0,0,360471.3043103207,2010567.1891307367
5,5,19317.37716450467,10800.0,6300.0,122089.55009933951,93763.49042391672,0.0,38052.6438553769,0.0,130936723.34005918,31952.756437360353,0.0,0.0,281522.2503428183,1.1920928955078125e-07,1,0,1693255.1075304926,1354416.6249651087,338838.4825653848,0.04,129758477.74965717,0,0.0,0.0,0,387578.69108595763,2390121.3198213642
6,6,19744.187993863725,10800.0,6300.0,122209.23008545098,94316.0354245322,0.0,46494.28609428977,0.0,130970957.48728159,44876.626927312216,0.0,0.0,328680.2680550844,1.4901161193847656e-08,1,0,1695025.4954150983,701478.8114487088,993546.6839663888,0.04,129711319.73194492,0,0.0,0.0,0,344447.14747253613,2227513.701299877
7,7,20136.37469220543,10800.0,6300.0,122361.76459064527,93273.91922501118,0.0,55288.45831520035,0.0,131002452.52209948,60018.55172197919,0.0,0.0,375317.22766759014,-2.9802322387695312e-08,3,0,1696837.4732063864,874127.0669381547,822710.4062682325,0.04,129664682.77233241,0,0.0,0.0,0,336466.6292240198,1877683.76406122
8,8,20660.71277507656,11700.0,6300.0,122466.94044252763,88480.79265513756,0.0,55314.179600738615,0.0,131031520.32352398,75191.14662506976,0.0,0.0,419557.6239951588,-5.960464477539063e-08,4,0,1698688.8090601456,765519.3237670616,933169.4852930848,0.04,129620442.37600484,0,0.0,0.0,0,344023.8037266117,2155321.7679647617
9,9,21144.280664913957,11700.0,6300.0,122572.3479958509,88900.7959619549,0.0,57750.049788889,0.0,131060259.51719162,90902.35093848905,0.0,0.0,464008.0219761363,-1.1920928955078125e-07,4,0,1700385.0727845381,1107239.632371061,593145.4404134763,0.04,129575991.97802386,0,0.0,0.0,0,321589.1465437293,2241882.639785425
